#ビール gold
#ジンジャーエール yellowgreen
#トマトジュース tomato
#コーラ saddlebrown
#ピーチ pink
#オレンジ　orange
#ウーロン茶 goldenrod
#ライム limegreen
ジン red
#ウォッカ mediumblue
#グレープフルーツ lightsalmon
#カンパリ crimson
#白ワイン lemonchiffon
#赤ワイン mediumvioletred
#ソーダ lightskyblue
#カシス red
カルーア sienna
牛乳 floralwhite
レモンジュース lemonchiffon
パッソア orangered
